EntropyAverage,EntropyStd,EntropyMedian,EntropyMin,EntropyMax,VAverage,VStd,VMedian,VMin,VMax,reward,step
0.09751599,0.03695614,0.09751599,0.060559854,0.13447213,326.9093,292.5608,326.9093,34.348526,619.4701,27.0,1
0.08951994,0.031904757,0.07402125,0.060571697,0.13396688,258.02847,260.2759,117.19138,33.93212,622.96185,38.0,19
0.053589515,0.0,0.053589515,0.053589515,0.053589515,22.259197,0.0,22.259197,22.259197,22.259197,6.0,20
0.0691207,0.048062578,0.05276227,0.020165691,0.13443412,218.54353,291.16855,22.04692,3.4063067,630.17737,29.0,34
0.043695323,0.0369962,0.043695323,0.006699122,0.080691524,74.60362,74.3873,74.60362,0.2163251,148.99092,11.0,42
0.117787674,0.010099079,0.117787674,0.1076886,0.12788676,385.29935,152.61002,385.29935,232.68933,537.90936,33.0,54
0.091850944,0.046662036,0.11406795,0.026929602,0.1345553,304.06772,252.62512,280.09637,7.349321,624.7575,39.0,73
0.043740816,0.023542248,0.043740816,0.020198569,0.067283064,26.643337,23.35511,26.643337,3.2882268,49.998447,11.0,82
0.040330287,0.026895987,0.040330287,0.0134343,0.067226276,45.24489,45.011147,45.24489,0.233743,90.256035,10.0,89
0.10091248,0.0,0.10091248,0.10091248,0.10091248,189.81609,0.0,189.81609,189.81609,189.81609,13.0,93
0.043763727,0.023563484,0.043763727,0.020200243,0.06732721,26.204527,22.718678,26.204527,3.485849,48.923206,11.0,101
0.040352426,0.026938545,0.040352426,0.013413882,0.06729097,44.695248,44.461884,44.695248,0.23336272,89.157135,10.0,107
0.10433891,0.01685039,0.10433891,0.08748852,0.121189296,291.14215,170.91808,291.14215,120.22406,462.0602,29.0,115
0.04031238,0.0067492723,0.04031238,0.033563107,0.047061652,18.657082,14.74632,18.657082,3.910761,33.4034,10.0,124
0.08753228,0.0,0.08753228,0.08753228,0.08753228,118.10711,0.0,118.10711,118.10711,118.10711,11.0,131
0.05047649,0.037010886,0.05047649,0.013465607,0.08748738,60.056973,58.8265,60.056973,1.230474,118.88347,13.0,135
0.087516285,0.040386263,0.087516285,0.047130022,0.12790255,215.8029,183.57677,215.8029,32.22614,399.37967,24.0,145
